45.86.228.104:443#AE [优选高速 315.81ms]
109.61.42.37:443#AE [820.78ms]
139.185.38.137:2053#AE [1202.56ms]
45.15.170.209:8443#AL [604.3ms]
45.15.170.107:443#AL [612.33ms]
185.186.77.21:8443#AL [1193.58ms]
91.132.132.243:8443#AM [263.63ms]
91.132.132.233:443#AM [297.73ms]
45.83.143.214:2053#AM [446.89ms]
185.234.57.153:443#AM [1135.11ms]
94.177.9.56:8443#AT [319.17ms]
83.138.55.113:443#AT [324.88ms]
94.177.8.122:8443#AT [326.8ms]
94.177.8.78:2053#AT [330.24ms]
104.143.0.117:8443#AT [521.1ms]
130.195.222.215:443#AT [705.17ms]
132.243.203.155:8443#AT [725.7ms]
132.243.203.120:8443#AT [728.05ms]
132.243.203.112:8443#AT [775.95ms]
132.243.203.204:8443#AT [778.39ms]
67.219.111.171:8443#AU [286.53ms]
123.51.23.113:443#AU [781.75ms]
139.180.172.252:443#AU [1215.94ms]
45.15.178.235:8443#BA [599.73ms]
38.54.42.124:443#BD [1456.02ms]
45.83.20.47:8443#BE [358.89ms]
45.83.20.29:443#BE [364.04ms]
104.155.124.198:443#BE [518.66ms]
141.98.233.190:8443#BE [1472.57ms]
91.92.136.216:2053#BG [258.55ms]
78.128.99.225:443#BG [270.17ms]
91.92.136.69:443#BG [291.24ms]
104.152.48.205:443#BG [330.77ms]
91.215.154.88:443#BG [352.07ms]
104.152.48.205:8443#BG [416.95ms]
45.136.198.114:8443#BG [643.95ms]
185.232.171.94:443#BG [1079.39ms]
185.162.10.111:2053#BG [1144.74ms]
94.156.35.128:2053#BG [1242.44ms]
132.226.163.224:2053#BR [863.35ms]
132.226.163.224:8443#BR [877.82ms]
38.180.78.255:443#BR [1144.45ms]
96.9.226.188:443#CA [250.61ms]
50.114.177.114:443#CA [261.71ms]
68.233.122.42:443#CA [268.44ms]
72.11.150.213:8443#CA [275.32ms]
72.11.145.117:443#CA [275.73ms]
72.11.146.199:443#CA [276.39ms]
96.44.136.186:2053#CA [286.34ms]
68.183.207.130:443#CA [286.85ms]
99.254.66.219:443#CA [313.13ms]
104.223.62.204:443#CA [475.68ms]
83.228.207.179:443#CH [207.2ms]
83.228.217.38:8443#CH [208.36ms]
91.245.225.79:8443#CH [225.12ms]
91.245.225.79:2053#CH [227.69ms]
51.34.85.34:443#CH [236.02ms]
85.4.221.234:443#CH [272.94ms]
91.192.102.170:8443#CH [277.55ms]
84.234.16.226:8443#CH [277.64ms]
91.192.102.170:2053#CH [278.91ms]
62.113.106.85:8443#CH [301.88ms]
64.176.15.110:2053#CL [333.28ms]
5.180.29.91:443#CL [416.9ms]
64.176.10.195:443#CL [1332.12ms]
64.176.4.154:8443#CL [1348.25ms]
91.148.134.83:2053#CO [297.15ms]
91.148.134.83:8443#CO [305.23ms]
134.255.210.217:443#CY [1031.77ms]
85.137.167.21:443#CZ [258.45ms]
85.137.166.231:443#CZ [260.91ms]
85.137.167.192:443#CZ [260.97ms]
62.233.57.60:443#CZ [263.58ms]
91.184.249.146:443#CZ [268.2ms]
91.184.250.182:443#CZ [275.26ms]
87.236.146.62:443#CZ [276.31ms]
87.236.146.43:443#CZ [276.65ms]
92.61.71.248:2083#CZ [277.03ms]
62.233.57.156:443#CZ [281.66ms]
57.129.62.51:443#DE [188.92ms]
57.129.63.30:8443#DE [190.19ms]
89.58.15.204:443#DE [193.59ms]
89.58.32.86:443#DE [195.54ms]
94.16.114.25:8443#DE [195.62ms]
78.46.244.237:8443#DE [197.97ms]
57.129.47.10:2053#DE [198.31ms]
64.226.88.144:8443#DE [202.01ms]
89.23.106.228:8443#DE [204.58ms]
92.5.106.74:443#DE [206.57ms]
77.37.96.132:443#DK [261.86ms]
80.78.30.157:443#DK [271.8ms]
92.113.149.238:443#DK [275.44ms]
80.78.24.239:2053#DK [283.39ms]
80.78.19.185:443#DK [284.08ms]
80.78.18.247:8443#DK [288.35ms]
45.153.48.166:443#DK [521.47ms]
109.176.202.20:443#DK [685.95ms]
92.119.129.148:8443#DK [1262.55ms]
45.153.48.157:443#DK [1265.19ms]
130.94.116.44:443#EC [774.7ms]
93.123.39.192:443#EE [218.85ms]
5.45.115.128:443#EE [238.37ms]
5.101.114.105:443#EE [247.7ms]
5.45.112.211:443#EE [247.71ms]
46.36.221.203:443#EE [252.5ms]
69.12.83.121:443#EE [252.68ms]
93.123.39.161:443#EE [254.37ms]
46.22.210.158:443#EE [262.39ms]
5.101.126.33:8443#EE [266.29ms]
69.12.83.246:8443#EE [267.5ms]
65.20.100.228:443#ES [232.57ms]
92.178.109.187:443#ES [234.87ms]
85.90.217.108:8443#ES [282.88ms]
79.117.46.26:8443#ES [289.27ms]
65.20.103.129:8443#ES [311.44ms]
91.149.243.34:443#ES [315.34ms]
83.147.242.56:8443#ES [331.17ms]
92.118.127.12:443#ES [336.02ms]
81.26.180.12:8443#ES [363.76ms]
103.45.245.208:2053#ES [431.44ms]
89.167.122.137:443#FI [211.03ms]
78.40.211.147:2053#FI [212.2ms]
65.109.196.96:8443#FI [212.32ms]
78.40.209.227:443#FI [217.9ms]
77.42.73.123:8443#FI [221.01ms]
62.60.253.248:443#FI [222.9ms]
65.109.207.66:8443#FI [234.35ms]
77.221.144.210:443#FI [235.39ms]
65.21.105.99:8443#FI [235.69ms]
65.109.161.254:8443#FI [235.92ms]
51.91.100.56:2053#FR [195.05ms]
51.91.100.56:8443#FR [206.21ms]
84.46.251.105:443#FR [219.83ms]
46.8.224.102:8443#FR [221.71ms]
51.77.140.100:2053#FR [222.94ms]
46.8.224.250:2053#FR [优选高速 223.96ms]
77.237.246.20:443#FR [224.96ms]
46.226.105.194:443#FR [225.42ms]
62.169.26.77:8443#FR [225.71ms]
51.77.140.23:2053#FR [226.61ms]
62.60.244.43:443#GB [238.55ms]
77.91.101.14:443#GB [242.47ms]
57.128.178.63:8443#GB [243.25ms]
57.129.137.234:8443#GB [244.02ms]
57.129.137.214:8443#GB [244.41ms]
57.128.177.198:8443#GB [245.17ms]
57.129.137.223:8443#GB [245.21ms]
57.128.176.147:8443#GB [246.19ms]
85.192.60.22:443#GB [247.09ms]
